Title,belongs_to_collection,genres,original_lang,overview,popularity,production_companies,production_countries,release_date,runtime,spoken langs,tagline,vote_average,vote_count
Men in Black,1,"['Action', ' Adventure', ' Comedy', ' Science Fiction']",en,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent Kay and new recruit Agent Jay find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.",35.1150016784668,['United States of America'],['United States of America'],02-07-1997,98.0,"['English', ' Español']",Protecting the Earth from the scum of the universe.,7.179999828338623,12470.0
Rocky Balboa,1,['Drama'],en,"His Wife is dead and his Son hates him but this old man still has fight in him!  When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder Mason Dixon retaliates by challenging Rocky to a nationally televised, 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger, and thirty years his junior.",31.895000457763672,['United States of America'],['United States of America'],20-12-2006,101.0,"['English', ' ქართული', ' Español']",It ain't over 'til it's over.,6.834000110626221,3050.0
As Good as It Gets,0,"['Drama', ' Comedy', ' Romance']",en,"Melvin Udall, a cranky, bigoted, obsessive-compulsive writer of romantic fiction, is rude to everyone he meets, including his gay neighbor, Simon. After Simon is hospitalized, Melvin finds his life turned upside down when he has to look after Simon's dog. In addition, Carol, the only waitress at the local diner who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.",18.770000457763672,['United States of America'],['United States of America'],19-12-1997,139.0,['English'],A comedy from the heart that goes for the throat. Brace yourself for Melvin.,7.39300012588501,3339.0
Talvar,0,"['Thriller', ' Drama', ' Mystery']",hi,A hardened cop deals with three conflicting perspectives involving a brutal double murder. The case is complicated as the prime suspects are the parents who supposedly killed their teenage daughter.,8.329999923706055,['India'],['India'],14-09-2015,132.0,"['English', ' हिन्दी']",,7.493000030517578,136.0
Incredibles 2,1,"['Action', ' Adventure', ' Animation', ' Family']",en,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",54.65700149536133,['United States of America'],['United States of America'],14-06-2018,118.0,['English'],Back to work.,7.486000061035156,11753.0
Sanju,1,"['Drama', ' Action', ' Comedy']",ja,"Toshiro Mifune swaggers and snarls to brilliant comic effect in Kurosawa's tightly paced, beautifully composed ""Sanjuro."" In this companion piece and sequel to ""Yojimbo,"" jaded samurai Sanjuro helps an idealistic group of young warriors weed out their clan's evil influences, and in the process turns their image of a proper samurai on its ear.",13.85200023651123,['Japan'],['Japan'],01-01-1962,96.0,['日本語'],Akira Kurosawa's Powerful and Newest Japanese Masterpiece,7.9720001220703125,498.0
Thor: Ragnarok,1,"['Action', ' Adventure', ' Fantasy', ' Science Fiction', ' Comedy']",en,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",66.28800201416016,['United States of America'],['United States of America'],24-10-2017,131.0,['English'],No Hammer. No Problem.,7.598999977111816,19052.0
Freedom Writers,0,"['Crime', ' Drama']",en,"A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",21.10700035095215,"['Germany', ' United States of America']","['Germany', ' United States of America']",05-01-2007,123.0,"['Español', ' English']",Their story. Their world. Their future.,7.922999858856201,1953.0
Modern Times,0,"['Comedy', ' Drama']",en,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,18.724000930786133,['United States of America'],['United States of America'],05-02-1936,87.0,['English'],"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!",8.305000305175781,3264.0
To Have and Have Not,0,"['Adventure', ' Romance', ' War', ' Drama']",en,A Martinique charter boat skipper gets mixed up with the underground French resistance operatives during WWII.,9.248000144958496,['United States of America'],['United States of America'],20-01-1945,100.0,"['English', ' Français']",TALK ABOUT T.N.T! THIS is IT!,7.5,434.0
The Courier,0,"['Thriller', ' History', ' Drama', ' Action']",en,Cold War spy Greville Wynne and his Russian source try to put an end to the Cuban Missile Crisis.,25.985000610351562,"['United Kingdom', ' United States of America']","['United Kingdom', ' United States of America']",24-01-2020,112.0,"['English', ' Pусский']",Based on the incredible true story of a businessman turned spy.,7.043000221252441,908.0
Tenacious D in The Pick of Destiny,0,"['Comedy', ' Music']",en,"In Venice Beach, naive Midwesterner JB bonds with local slacker KG and they form the rock band Tenacious D. Setting out to become the world's greatest band is no easy feat, so they set out to steal what could be the answer to their prayers... a magical guitar pick housed in a rock-and-roll museum some 300 miles away.",26.77400016784668,['United States of America'],['United States of America'],22-11-2006,93.0,['English'],An epic quest. A magical guitar pick. A chance to put the D in Destiny.,6.715000152587891,1375.0
Waking Life,0,"['Animation', ' Drama', ' Fantasy']",en,"Waking Life is about a young man in a persistent lucid dream-like state. The film follows its protagonist as he initially observes and later participates in philosophical discussions that weave together issues like reality, free will, our relationships with others, and the meaning of life.",13.359000205993652,['United States of America'],['United States of America'],19-10-2001,99.0,['English'],Dreams. What are they? An escape from reality or reality itself?,7.50600004196167,776.0
La leggenda del pianista sull'oceano,0,"['Drama', ' Music', ' Romance']",it,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",21.236000061035156,['Italy'],['Italy'],28-10-1998,170.0,"['English', ' Français', ' Italiano']",An epic story of a man who could do anything... except be ordinary,8.279000282287598,2019.0
Gangs of Wasseypur,1,"['Action', ' Thriller', ' Crime']",hi,"In 1970s India, a young man vows to take revenge on the man who killed his father decades earlier.",10.74899959564209,['India'],['India'],22-06-2012,160.0,['हिन्दी'],,7.199999809265137,306.0
Ali,0,['Drama'],en,"In 1964, a brash, new pro boxer, fresh from his Olympic gold medal victory, explodes onto the scene: Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self-confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test.",14.956000328063965,"['South Africa', ' United States of America']","['South Africa', ' United States of America']",10-12-2001,157.0,['English'],Float like a butterfly and sting like a bee.,6.7779998779296875,1499.0
The Big Lebowski,0,"['Comedy', ' Crime']",en,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",22.849000930786133,"['United Kingdom', ' United States of America']","['United Kingdom', ' United States of America']",06-03-1998,117.0,"['English', ' עִבְרִית', ' Español', ' Deutsch']",Times like these call for a Big Lebowski.,7.843999862670898,10076.0
Tau ming chong,0,"['Action', ' Drama', ' History']",zh,"A heroic tale of three blood brothers and their struggle in the midst of war and political upheaval. It is based on ""The Assassination of Ma,"" a Qing Dynasty (1644-1911) story about the killing of general Ma Xinyi.",13.944999694824219,"['China', ' Hong Kong']","['China', ' Hong Kong']",12-12-2007,126.0,['普通话'],,6.728000164031982,270.0
Lone Star,0,"['Drama', ' Mystery', ' Romance']",en,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.",8.086999893188477,['United States of America'],['United States of America'],21-06-1996,135.0,"['Español', ' English']",John Sayles invites you to return to the scene of the crime.,6.998000144958496,288.0
Eternal Sunshine of the Spotless Mind,0,"['Science Fiction', ' Drama', ' Romance']",en,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",39.12799835205078,['United States of America'],['United States of America'],19-03-2004,108.0,['English'],You can erase someone from your mind. Getting them out of your heart is another story.,8.100000381469727,13332.0
United 93,0,"['Drama', ' History', ' Crime', ' Thriller', ' Action']",en,"A real-time account of the events on United Flight 93, one of the planes hijacked on 9/11 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",11.21399974822998,"['France', ' United Kingdom', ' United States of America']","['France', ' United Kingdom', ' United States of America']",28-04-2006,111.0,"['English', ' العربية', ' Deutsch']","September 11, 2001. Four planes were hijacked. Three of them reached their target. This is the story of the fourth.",7.130000114440918,1274.0
Ghostbusters,0,"['Action', ' Fantasy', ' Comedy']",en,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",34.18600082397461,['United States of America'],['United States of America'],14-07-2016,117.0,['English'],Who You Gonna Call?,5.36899995803833,5833.0
Happy Feet,1,"['Animation', ' Comedy', ' Family']",en,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",43.11800003051758,['Australia'],['Australia'],16-11-2006,108.0,['English'],WARNING: May Cause Toe-Tapping.,6.159999847412109,4608.0
Busanhaeng,1,"['Horror', ' Thriller', ' Adventure', ' Action']",ko,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",52.244998931884766,['South Korea'],['South Korea'],20-07-2016,118.0,['한국어/조선말'],Life-or-death survival begins.,7.758999824523926,6378.0
Yip Man 2,0,"['Action', ' Crime', ' Drama']",cn,"Following his defeat by Master Ip, Cheung Tin Chi tries to make a life with his young son in Hong Kong, waiting tables at a bar that caters to expats. But it's not long before the mix of foreigners, money, and triad leaders draw him once again to the fight.",22.597000122070312,"['China', ' Hong Kong']","['China', ' Hong Kong']",20-12-2018,107.0,"['English', ' 广州话 / 廣州話', ' 普通话']",,6.238999843597412,425.0
Il postino,0,"['Comedy', ' Drama', ' Romance']",it,Simple Italian postman learns to love poetry while delivering mail to a famous poet he uses this to woo local beauty Beatrice.,11.795999526977539,"['Belgium', ' France', ' Italy']","['Belgium', ' France', ' Italy']",07-04-1994,109.0,"['Italiano', ' Español']",Dreams do come true.,7.945000171661377,1024.0
How to Train Your Dragon,1,"['Fantasy', ' Adventure', ' Animation', ' Family']",en,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",43.02799987792969,['United States of America'],['United States of America'],18-03-2010,98.0,['English'],One adventure will change two worlds,7.806000232696533,11762.0
Liger,0,"['Action', ' Romance']",te,"The journey of Liger, from Karimnagar to Mumbai, from a nobody to a competitor, in his search for recognition while navigating his weaknesses, relationships, and love life.",4.5320000648498535,['India'],['India'],25-08-2022,138.0,['తెలుగు'],Saala Crossbreed,4.817999839782715,11.0
K.G.F: Chapter 2,1,"['Action', ' Crime', ' Drama']",kn,"The blood-soaked land of Kolar Gold Fields (KGF) has a new overlord now - Rocky, whose name strikes fear in the heart of his foes. His allies look up to Rocky as their Savior, the government sees him as a threat to law and order; enemies are clamoring for revenge and conspiring for his downfall. Bloodier battles and darker days await as Rocky continues on his quest for unchallenged supremacy.",13.28499984741211,['India'],['India'],14-04-2022,168.0,['?????'],The World Is My Territory,7.631999969482422,102.0
The Secret of Kells,0,"['Animation', ' Family', ' Fantasy']",en,"Adventure awaits 12 year old Brendan who must fight Vikings and a serpent god to find a crystal and complete the legendary Book of Kells. In order to finish Brother Aiden's book, Brendan must overcome his deepest fears on a secret quest that will take him beyond the abbey walls and into the enchanted forest where dangerous mythical creatures hide. Will Brendan succeed in his quest?",14.256999969482422,"['Belgium', ' France', ' Ireland']","['Belgium', ' France', ' Ireland']",09-02-2009,75.0,['English'],Turn the darkness into light,7.425000190734863,577.0
Stan & Ollie,0,"['Comedy', ' Drama']",en,"With their golden era long behind them, comedy duo Stan Laurel and Oliver Hardy embark on a variety hall tour of Britain and Ireland. Despite the pressures of a hectic schedule, and with the support of their wives Lucille and Ida – a formidable double act in their own right – the pair's love of performing, as well as for each other, endures as they secure their place in the hearts of their adoring public",11.300000190734863,"['Canada', ' United Kingdom', ' United States of America']","['Canada', ' United Kingdom', ' United States of America']",28-12-2018,98.0,['English'],The untold story of the world's greatest comedy act.,6.9720001220703125,935.0
Lionheart,0,['Action'],en,"Lyon Gaultier is a deserter in the Foreign Legion arriving in the USA entirely hard up. He finds his brother between life and death and his sister-in-law without the money needed to heal her husband and to maintain her child. To earn the money needed, Gaultier decides to take part in some very dangerous clandestine fights.",41.5099983215332,['United States of America'],['United States of America'],07-06-1990,105.0,"['Español', ' English']",When the streets are a jungle... There can only be one king.,6.519999980926514,883.0
Pride & Prejudice,0,"['Drama', ' Romance']",en,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",37.02399826049805,"['France', ' United Kingdom', ' United States of America']","['France', ' United Kingdom', ' United States of America']",16-09-2005,127.0,['English'],A romance ahead of its time.,8.086000442504883,7116.0
Greyhound,1,"['War', ' Action', ' Drama']",en,"A first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the “Black Pit” to the front lines of WW2. With no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy Nazi U-boats in order to give the allies a chance to win the war.",29.038999557495117,"['Canada', ' China', ' United States of America']","['Canada', ' China', ' United States of America']",10-07-2020,91.0,['English'],The only thing more dangerous than the front lines was the fight to get there.,7.416999816894531,2435.0
The Prince of Egypt,1,"['Adventure', ' Animation', ' Drama', ' Family']",en,"This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.",37.73099899291992,['United States of America'],['United States of America'],16-12-1998,99.0,"['עִבְרִית', ' English']",The Power Is Real. The Story is Forever. The Time is Now.,7.243000030517578,3528.0
Avengers: Endgame,1,"['Adventure', ' Science Fiction', ' Action']",en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",93.93000030517578,['United States of America'],['United States of America'],24-04-2019,181.0,"['English', ' 日本語', ' ']",Avenge the fallen.,8.267000198364258,23106.0
Trois couleurs: Rouge,1,"['Drama', ' Mystery', ' Romance']",fr,"Valentine, a student model in Geneva, struggles with a possessive boyfriend and a troubled family. When she runs over a dog, she discovers that its owner, a retired judge, is illegally wiretapping and eavesdropping on his neighbors' phone calls. Although Valentine is outraged, she develops a strange bond with the judge – and as the two become closer, she finds herself caught in the middle of events that could change her life.",17.28499984741211,"['France', ' Poland', ' Switzerland']","['France', ' Poland', ' Switzerland']",12-05-1994,100.0,['Français'],,8.0,1161.0
The Brave Little Toaster,1,"['Fantasy', ' Adventure', ' Animation', ' Comedy', ' Family', ' Music']",en,"A group of dated appliances, finding themselves stranded in a summer home that their family had just sold, decide to seek their young 8 year old ""master"".",13.616000175476074,['United States of America'],['United States of America'],09-07-1987,90.0,"['English', ' Español', ' Polski']",Plug into the adventure!,6.900000095367432,365.0
Harry Potter and the Prisoner of Azkaban,1,"['Adventure', ' Fantasy']",en,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",97.06800079345703,"['United Kingdom', ' United States of America']","['United Kingdom', ' United States of America']",31-05-2004,141.0,['English'],Something wicked this way comes.,8.022000312805176,19470.0
The Fault in Our Stars,0,"['Romance', ' Drama']",en,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",30.017000198364258,['United States of America'],['United States of America'],16-05-2014,126.0,['English'],,7.599999904632568,10466.0
Frida,0,"['Drama', ' Romance']",en,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.",10.432000160217285,"['Canada', ' Mexico', ' United States of America']","['Canada', ' Mexico', ' United States of America']",29-08-2002,123.0,"['Français', ' English', ' Pусский']",Prepare to be seduced.,7.431000232696533,1855.0
Kill Bill: Vol. 1,1,"['Action', ' Crime']",en,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",32.74399948120117,['United States of America'],['United States of America'],10-10-2003,111.0,"['English', ' 日本語', ' Français']",A roaring rampage of revenge.,7.96999979019165,15759.0
Dom za vesanje,0,"['Drama', ' Comedy', ' Crime', ' Fantasy']",sh,"In this luminous tale set in the former Yugoslavia, Perhan, an engaging young Romany with telekinetic powers, is seduced by the quick-cash world of petty crime that threatens to destroy him and those he loves.",10.045000076293945,"['Italy', ' United Kingdom', ' Yugoslavia']","['Italy', ' United Kingdom', ' Yugoslavia']",21-12-1988,142.0,[''],,7.699999809265137,308.0
A Wednesday,0,"['Drama', ' Thriller']",hi,"A retired police commissioner recounts the most memorable case of his career, wherein he was informed about a bomb scare in Mumbai.",7.1479997634887695,['India'],['India'],05-09-2008,103.0,['हिन्दी'],,7.0,264.0
Kaze no tani no Naushika,0,"['Adventure', ' Animation', ' Fantasy']",ja,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",30.415000915527344,['Japan'],['Japan'],11-03-1984,117.0,['日本語'],A young girl's love called forth miracles…,7.933000087738037,3040.0
I Am Legend,1,"['Drama', ' Science Fiction', ' Thriller']",en,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",49.483001708984375,['United States of America'],['United States of America'],12-12-2007,101.0,['English'],The last man on Earth is not alone,7.197999954223633,14313.0
The Muppet Movie,0,"['Comedy', ' Adventure', ' Music', ' Family']",en,A Hollywood agent persuades Kermit the Frog to pursue a career in Hollywood. On his way there he meets his future muppet crew while being chased by the desperate owner of a frog-leg restaurant!,12.635000228881836,['United States of America'],['United States of America'],22-06-1979,97.0,"['English', ' Français']",More entertaining than humanly possible,7.144999980926514,504.0
Jagten,0,['Drama'],da,"A teacher lives a lonely life, all the while struggling over his son’s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",19.06999969482422,"['Belgium', ' Denmark', ' France', ' Sweden']","['Belgium', ' Denmark', ' France', ' Sweden']",25-10-2012,116.0,"['Dansk', ' Polski', ' English']",The lie is spreading.,8.095999717712402,3561.0
Tae Guk Gi: The Brotherhood of War,0,[''],ko,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle",0.0,['South Korea'],['South Korea'],03-02-2004,140.0,['한국어/조선말'],,0.0,0.0
